Vector,Scenario,Best Alpha,Delta vs Baseline,p-value,Mean Compliance (best),Mean Compliance (baseline)
CLIPPED Vector,myanmar,4.0,0.2433333333333334,0.010815327105555654,0.52,0.2766666666666666
CLIPPED Vector,tea,-4.0,0.4261904761904762,0.00018206950882909703,0.4933333333333333,0.0671428571428571
CLIPPED Vector,wallet,-4.0,0.4228571428571428,0.07413945727216636,0.0366666666666666,-0.3861904761904762
FULL Vector,myanmar,3.0,-0.14999999999999997,0.018719423349875666,0.2,0.35
FULL Vector,tea,3.0,0.08523809523809531,0.4968502873070648,0.1842857142857143,0.099047619047619
FULL Vector,wallet,4.0,0.3066666666666667,0.009725448752738156,-0.0766666666666666,-0.3833333333333333
